project,station,landuse,date_obs,depth,sensorType,meanstation,samples,meansample,sensorName
monalisa,latsch1,appleorchards,07/08/2015,40,CS655,0.196,0.27676,0.2823,
monalisa,latsch1,appleorchards,07/08/2015,40,CS655,0.196,0.27424,0.2823,
monalisa,latsch3,appleorchards,07/08/2015,20,CS655,0.205,0.29968,0.3012,
monalisa,latsch3,appleorchards,07/08/2015,20,CS655,0.205,0.29616,0.3012,
monalisa,latsch3,appleorchards,07/08/2015,20,CS655,0.205,0.30768,0.3012,
monalisa,latsch3,appleorchards,07/08/2015,40,CS655,0.196,0.26108,0.2691,
monalisa,latsch3,appleorchards,07/08/2015,40,CS655,0.196,0.2862,0.2691,
monalisa,latsch3,appleorchards,07/08/2015,40,CS655,0.196,0.25996,0.2691,
monalisa,latsch4,appleorchards,07/08/2015,20,CS655,0.222,0.47932,0.464,
monalisa,latsch4,appleorchards,07/08/2015,20,CS655,0.222,0.42144,0.464,
monalisa,latsch4,appleorchards,07/08/2015,20,CS655,0.222,0.49112,0.464,
monalisa,latsch4,appleorchards,07/08/2015,40,CS655,0.213,0.4912,0.4899,
monalisa,latsch4,appleorchards,07/08/2015,40,CS655,0.213,0.48732,0.4899,
monalisa,latsch4,appleorchards,07/08/2015,40,CS655,0.213,0.49128,0.4899,
matsch,B2,meadow,18/06/2015,5,NA,0.226,0.3782,0.3861,Cst
matsch,B2,meadow,18/06/2015,5,NA,0.226,0.41936,0.3861,Cst
matsch,B2,meadow,18/06/2015,5,NA,0.226,0.36088,0.3861,Cst
matsch,B2,meadow,18/06/2015,5,Decagon10HS,0.261,0.3782,0.3861,CI
matsch,B2,meadow,18/06/2015,5,Decagon10HS,0.261,0.41936,0.3861,CI
matsch,B2,meadow,18/06/2015,5,Decagon10HS,0.261,0.36088,0.3861,CI
matsch,B2,meadow,18/06/2015,5,NA,0.261,0.3782,0.3861,T
matsch,B2,meadow,18/06/2015,5,NA,0.261,0.41936,0.3861,T
matsch,B2,meadow,18/06/2015,5,NA,0.261,0.36088,0.3861,T
matsch,B2,meadow,18/06/2015,5,NA,0.212,0.3782,0.3861,L
matsch,B2,meadow,18/06/2015,5,NA,0.212,0.41936,0.3861,L
matsch,B2,meadow,18/06/2015,5,NA,0.212,0.36088,0.3861,L
matsch,B2,meadow,18/06/2015,5,Decagon10HS,0.345,0.3782,0.3861,Lsp
matsch,B2,meadow,18/06/2015,5,Decagon10HS,0.345,0.41936,0.3861,Lsp
matsch,B2,meadow,18/06/2015,5,Decagon10HS,0.345,0.36088,0.3861,Lsp
matsch,B2,meadow,18/06/2015,5,NA,0.1365,0.3782,0.3861,Lst
matsch,B2,meadow,18/06/2015,5,NA,0.1365,0.41936,0.3861,Lst
matsch,B2,meadow,18/06/2015,5,NA,0.1365,0.36088,0.3861,Lst
matsch,B2,meadow,18/06/2015,20,NA,0.135,0.34204,0.4056,Csn
matsch,B2,meadow,18/06/2015,20,NA,0.135,0.44572,0.4056,Csn
matsch,B2,meadow,18/06/2015,20,NA,0.135,0.42912,0.4056,Csn
matsch,B2,meadow,18/06/2015,20,NA,0.228,0.34204,0.4056,T
matsch,B2,meadow,18/06/2015,20,NA,0.228,0.44572,0.4056,T
matsch,B2,meadow,18/06/2015,20,NA,0.228,0.42912,0.4056,T
matsch,B2,meadow,18/06/2015,20,NA,0.243,0.34204,0.4056,L
matsch,B2,meadow,18/06/2015,20,NA,0.243,0.44572,0.4056,L
matsch,B2,meadow,18/06/2015,20,NA,0.243,0.42912,0.4056,L
matsch,B2,meadow,18/06/2015,20,Decagon10HS,0.178,0.34204,0.4056,Lsp
matsch,B2,meadow,18/06/2015,20,Decagon10HS,0.178,0.44572,0.4056,Lsp
matsch,B2,meadow,18/06/2015,20,Decagon10HS,0.178,0.42912,0.4056,Lsp
matsch,B2,meadow,18/06/2015,20,NA,0.215,0.34204,0.4056,Tst
matsch,B2,meadow,18/06/2015,20,NA,0.215,0.44572,0.4056,Tst
matsch,B2,meadow,18/06/2015,20,NA,0.215,0.42912,0.4056,Tst
matsch,B2,meadow,18/06/2015,20,NA,0.248,0.34204,0.4056,Lst
matsch,B2,meadow,18/06/2015,20,NA,0.248,0.44572,0.4056,Lst
matsch,B2,meadow,18/06/2015,20,NA,0.248,0.42912,0.4056,Lst
matsch,I1,meadow,18/06/2015,5,CS655,0.374,0.44064,0.396,
matsch,I1,meadow,18/06/2015,5,CS655,0.374,0.46156,0.396,
matsch,I1,meadow,18/06/2015,5,CS655,0.374,0.28608,0.396,
matsch,I1,meadow,18/06/2015,20,CS655,0.334,0.38768,0.378,
matsch,I1,meadow,18/06/2015,20,CS655,0.334,0.39296,0.378,
matsch,I1,meadow,18/06/2015,20,CS655,0.334,0.35196,0.378,
matsch,I3,meadow,18/06/2015,5,CS655,0.309,0.2148,0.2446,
matsch,I3,meadow,18/06/2015,5,CS655,0.309,0.2744,0.2446,
matsch,P1,pasture,18/06/2015,5,CS655,0.315,0.36044,0.381,
matsch,P1,pasture,18/06/2015,5,CS655,0.315,0.41016,0.381,
matsch,P1,pasture,18/06/2015,5,CS655,0.315,0.37356,0.381,
matsch,P1,pasture,18/06/2015,20,CS655,0.267,0.30476,0.321,
matsch,P1,pasture,18/06/2015,20,CS655,0.267,0.3368,0.321,
matsch,P2,pasture,18/06/2015,5,CS655,0.283,0.22772,0.303,
matsch,P2,pasture,18/06/2015,5,CS655,0.283,0.32472,0.303,
matsch,P2,pasture,18/06/2015,5,CS655,0.283,0.35792,0.303,
matsch,P2,pasture,18/06/2015,20,CS655,0.221,0.2546,0.204,
matsch,P2,pasture,18/06/2015,20,CS655,0.221,0.18504,0.204,
matsch,P2,pasture,18/06/2015,20,CS655,0.221,0.17204,0.204,
matsch,P3,pasture,18/06/2015,5,CS655,0.3735,0.39904,0.425,
matsch,P3,pasture,18/06/2015,5,CS655,0.3735,0.43188,0.425,
matsch,P3,pasture,18/06/2015,20,CS655,0.255,0.23488,0.215,
matsch,P3,pasture,18/06/2015,20,CS655,0.255,0.22488,0.215,
matsch,P3,pasture,18/06/2015,5,CS655,0.255,0.18572,0.215,
monalisa,nemef1500,grassland,27/07/2015,5,CS655,0.3663,0.28308,0.3424,
monalisa,nemef1500,grassland,27/07/2015,5,CS655,0.3663,0.37012,0.3424,
monalisa,nemef1500,grassland,27/07/2015,5,CS655,0.3663,0.37392,0.3424,
monalisa,nemef1500,grassland,27/07/2015,20,CS655,0.338,0.36908,0.3695,
monalisa,nemef1500,grassland,27/07/2015,20,CS655,0.338,0.37648,0.3695,
monalisa,nemef1500,grassland,27/07/2015,20,CS655,0.338,0.36292,0.3695,
monalisa,domef1500,grassland,27/07/2015,5,CS655,0.3159,0.4194,0.4197,
monalisa,domef1500,grassland,27/07/2015,5,CS655,0.3159,0.41752,0.4197,
monalisa,domef1500,grassland,27/07/2015,5,CS655,0.3159,0.42208,0.4197,
monalisa,domef1500,grassland,27/07/2015,20,CS655,0.365,0.30948,0.2877,
monalisa,domef1500,grassland,27/07/2015,20,CS655,0.365,0.18892,0.2877,
monalisa,domef1500,grassland,27/07/2015,20,CS655,0.365,0.36476,0.2877,
monalisa,vimef2000,grassland,06/08/2015,5,CS655,0.3403,0.52792,0.4926,
monalisa,vimef2000,grassland,06/08/2015,5,CS655,0.3403,0.43044,0.4926,
monalisa,vimef2000,grassland,06/08/2015,5,CS655,0.3403,0.51948,0.4926,
monalisa,vimef2000,grassland,06/08/2015,20,CS655,0.455,0.43868,0.476,
monalisa,vimef2000,grassland,06/08/2015,20,CS655,0.455,0.5736,0.476,
monalisa,vimef2000,grassland,06/08/2015,20,CS655,0.455,0.41564,0.476,
monalisa,vimes2000,grassland,06/08/2015,5,CS655,0.216,0.3196,0.3042,
monalisa,vimes2000,grassland,06/08/2015,5,CS655,0.216,0.299,0.3042,
monalisa,vimes2000,grassland,06/08/2015,5,CS655,0.216,0.3391,0.3042,
monalisa,vimes2000,grassland,06/08/2015,20,CS655,0.2337,0.27452,0.2413,
monalisa,vimes2000,grassland,06/08/2015,20,CS655,0.2337,0.24076,0.2413,
monalisa,vimes2000,grassland,06/08/2015,20,CS655,0.2337,0.24184,0.2413,
